Lithuanian,English
jiems,for them
darai,you do
kažkas,something
juo,him
sakė,said
padaryti,to do
visus,all
irgi,too
nenoriu,I don't want to
geras,good
eiti,to go
šūdas,shit
sveikas,healthy
kokia,what
tokia,such
daryti,to do
a,a
galbūt,perhaps
nutiko,happened
viena,one
gi,yes
kitą,next
visa,all
kurie,which
dieną,day
tam,for that
padėti,to help
žmogau,man
nė,neither
pinigų,money
šis,this
velnias,devil
i,and
myliu,I love
reiškia,means
sakiau,I said
pasakyk,tell me
galima,possible
maniau,I thought
sako,says
sau,for yourself
bent,at least
turbūt,probably
tavimi,you
žmonių,people
manimi,me
supratau,I understood.
norėjau,I wanted
tikras,real
nebuvo,was not
velnių,devils
laikas,time
buvai,you were
supranti,understand
norėčiau,I would like
kurį,which
vyras,man
tėvas,father
vyksta,is happening
paskui,then
saša,Sasha
matai,you see
toliau,further
suprantu,I understand
diena,day
pirmyn,forward
pažiūrėk,look
vardas,name
tie,those
turim,we have
darbo,work
atgal,back
žiūrėk,look
puikiai,excellent
metu,during
metus,year
duok,give
neturi,does not have
liaukis,stop
ja,yes
malonu,nice
jokių,none
lyg,as if
kažką,something
ponia,lady
rimtai,seriously
tania,tanya
darbą,work
tikiuosi,I hope
šią,this
ateik,come
greitai,quickly
manim,for me
žino,knows
pati,herself
kuri,which
sere,sir
gera,good
tavim,you
galime,we can
laiką,time
matau,I see
nuostabu,wonderful
mačiau,I saw
teisingai,correctly
gyvenimą,life
visiškai,completely
galėčiau,I could
tėtis,dad
as,I
tuomet,then
visas,all
ši,this
rytoj,tomorrow
pinigus,money
visų,all
naktį,at night
turėjo,had
tokio,such
viso,total
sakau,I say
beveik,almost
tarp,between
lr,lr
šiek,a little
pasakė,said
turite,you have
atleiskit,forgive me
kartais,sometimes
šito,this
leisk,let
anksčiau,previously
neturiu,I don't have
sunku,difficult
gana,quite
žinoti,to know
kuzia,kuzia
nesu,I am not
atsitiko,happened
save,myself
tos,those
nebus,will not be
draugas,friend
truputį,a little
labiau,more
darbas,work
tikriausiai,probably
vėliau,later
turėjau,I had
ilgai,long
trys,three
duris,door
vieta,place
dvi,two
tuos,those
visiems,for everyone
vaikai,children
sakei,you said
pamatyti,to see
vakar,yesterday
vadinasi,so it is
turėtų,should
žmona,wife
tiesą,truth
kalba,language
nesuprantu,I don't understand.
nesvarbu,no matter
kitas,other
mergina,girl
šitą,this one
matyti,to see
daro,does
tikra,real
einu,I am going.
būsiu,I will be
vaikas,child
pasakiau,I said
einam,let's go
nenori,doesn't want
šios,these
vietą,place
galite,you can
kalbi,you speak
šio,this
pasakysiu,I will tell you.
moteris,woman
pagalbos,help
sekasi,good luck
būčiau,I would be
jas,them
nemanau,I don't think so.
paklausyk,listen
sūnus,son
sveika,healthy
draugai,friends
jumis,you
žmones,people
abu,both
tokie,such
ka,what
būtent,namely
tų,those
kokį,what
pasikalbėti,to talk
mašiną,machine
liko,left
padėk,help
blogai,bad
būk,be
vyrai,men
niekad,never
gyvenimas,life
būt,to be
teisus,right
padarė,did
girdėjau,I heard
laukia,waiting
vos,barely
rankas,hands
pirma,first
galvą,head
gaila,sorry
kita,other
padarei,you did
mieloji,darling
negalima,not possible
vardu,on behalf of
kurią,which
pro,through
minučių,minutes
žinote,you know
grįžti,return
žinot,you know
gero,good
dienos,days
norite,you want
reikėjo,needed
atleiskite,forgive
tiesiai,straight
gyvenimo,life
nesijaudink,don't worry
vieno,one
vienintelis,the only one
rytas,morning
ponas,sir
šalia,next to
ramiai,calmly
kelias,road
aha,aha
kiekvieną,each
visos,all
maiklai,Michael
atrodai,you look
vaikų,children's
pirmas,first
eina,goes
kurios,which
namuose,at home
galėtų,could
mirė,died
kitaip,otherwise
dalykas,thing
būsi,you will be
turėčiau,I should
panele,lady
matei,you saw
kuriuos,which
žemės,land
kito,next
pagal,according to
klausau,I am listening.
dievo,god
akis,eye
galėtum,you could
vaikinai,guys
šeima,family
pasaulio,world
visko,everything
niekam,to no one
esame,we are
tris,three
girdi,you hear
reikės,will need
kapitone,captain
daktare,doctor
supratai,you understand
vandens,water
šiuo,this
tad,so
jėzau,Jesus
turėtum,you should
kiti,others
namų,home
kalbėti,to speak
seniai,long ago
oho,wow
alio,garlic
geriausias,best
esate,you are
pagaliau,finally
mirties,death
pavyko,succeeded
nepatinka,dislike
metas,time
mumis,us
savaitę,week
tokį,such
pasaulyje,in the world
jokio,none
namie,at home
šitas,this one
mintis,thought
radau,I found
norėjo,wanted
žmogaus,human
baik,finish
niekur,nowhere
dolerių,dollars
dievas,god
vietos,places
vaikinas,guy
atėjo,came
